Title: Identification of Likely Methane Absorption Features in the Optical 
       Spectra of Titan
Authors: Sithajan S., Kaewbiang L., Jones H.R.A., Rittipruk P., Meethong S.
Table: Intrinsic Titan spectral data from UVES observations
================================================================================
Byte-by-byte Description of file: datafileA2.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  8 F8.3   10-10m   Wave   Wavelength in vacuum; Angstroms
  10- 14 F5.3   ---      Flux   Relative flux (1)
  16- 20 F5.3   ---    e_Flux   Uncertainty in Flux (2)
--------------------------------------------------------------------------------
Note (1): Normalized Titan spectrum with the best-fit background removed.
Note (2): Variation in the relative flux across the 15 individual spectra.
--------------------------------------------------------------------------------
5406.356 0.999 0.006 
5406.372 1.000 0.006 
5406.387 1.000 0.006 
5406.402 1.001 0.004 
5406.418 1.000 0.004 
5406.433 1.001 0.004 
5406.448 1.001 0.005 
5406.464 1.000 0.006 
5406.479 0.999 0.007 
5406.494 0.999 0.008 
5406.510 1.002 0.008 
5406.525 1.004 0.007 
5406.540 1.008 0.005 
5406.556 1.009 0.005 
5406.571 1.008 0.005 
5406.586 1.006 0.006 
5406.602 1.005 0.005 
5406.617 1.003 0.005 
5406.632 1.003 0.005 
5406.648 1.004 0.005 
5406.663 1.002 0.004 
5406.678 1.000 0.005 
5406.694 1.000 0.005 
5406.709 1.000 0.006 
5406.724 1.000 0.007 
5406.740 0.998 0.007 
5406.755 0.997 0.006 
5406.771 1.001 0.007 
5406.786 1.002 0.011 
5406.801 1.002 0.015 
5406.817 1.000 0.019 
5406.832 0.999 0.021 
5406.847 0.997 0.018 
5406.863 1.003 0.016 
5406.878 1.011 0.014 
5406.893 1.021 0.013 
5406.909 1.024 0.013 
5406.924 1.024 0.013 
5406.939 1.015 0.013 
5406.955 1.006 0.013 
5406.970 1.004 0.012 
5406.985 1.003 0.011 
5407.001 1.001 0.009 
5407.016 0.998 0.007 
5407.031 0.997 0.009 
5407.047 0.999 0.009 
5407.062 1.000 0.008 
5407.077 0.999 0.008 
5407.093 0.996 0.008 
5407.108 0.994 0.007 
5407.123 0.993 0.007 
5407.139 0.992 0.008 
5407.154 0.990 0.007 
5407.169 0.981 0.009 
5407.185 0.973 0.015 
5407.200 0.967 0.024 
5407.215 0.964 0.032 
5407.231 0.964 0.043 
5407.246 0.977 0.053 
5407.261 0.996 0.051 
5407.277 1.020 0.046 
5407.292 1.048 0.039 
5407.307 1.065 0.037 
5407.323 1.091 0.040 
5407.338 1.098 0.045 
5407.353 1.116 0.054 
5407.369 1.102 0.057 
5407.384 1.064 0.054 
5407.399 1.028 0.046 
5407.415 0.999 0.031 
5407.430 0.988 0.019 
5407.445 0.987 0.012 
5407.461 0.987 0.008 
5407.476 0.986 0.006 
5407.492 0.987 0.006 
5407.507 0.988 0.005 
5407.522 0.986 0.005 
5407.538 0.986 0.005 
5407.553 0.983 0.005 
5407.568 0.982 0.005 
5407.584 0.982 0.004 
5407.599 0.984 0.004 
5407.614 0.984 0.004 
5407.630 0.984 0.004 
5407.645 0.985 0.004 
5407.660 0.987 0.004 
5407.676 0.988 0.004 
5407.691 0.989 0.004 
5407.706 0.990 0.004 
5407.722 0.990 0.005 
5407.737 0.990 0.004 
5407.752 0.991 0.003 
5407.768 0.988 0.003 
5407.783 0.986 0.004 
5407.798 0.986 0.004 
5407.814 0.987 0.004 
5407.829 0.987 0.005 
5407.844 0.990 0.004 
5407.860 0.993 0.004 
5407.875 0.992 0.004 
5407.890 0.994 0.004 
5407.906 0.996 0.003 
5407.921 0.998 0.003 
5407.936 0.997 0.003 
5407.952 0.995 0.003 
5407.967 0.993 0.002 
5407.982 0.994 0.002 
5407.998 0.993 0.003 
5408.013 0.992 0.002 
5408.028 0.991 0.001 
5408.044 0.989 0.002 
5408.059 0.988 0.003 
5408.074 0.987 0.003 
5408.090 0.988 0.003 
5408.105 0.990 0.003 
5408.120 0.992 0.003 
5408.136 0.993 0.004 
5408.151 0.993 0.004 
5408.167 0.993 0.004 
5408.182 0.993 0.003 
5408.197 0.994 0.002 
5408.213 0.992 0.005 
5408.228 0.993 0.010 
5408.243 0.994 0.014 
5408.259 0.992 0.013 
5408.274 0.995 0.012 
5408.289 0.999 0.012 
5408.305 1.005 0.011 
5408.320 1.010 0.011 
5408.335 1.012 0.013 
5408.351 1.013 0.014 
5408.366 1.005 0.013 
5408.381 0.994 0.011 
5408.397 0.990 0.008 
5408.412 0.991 0.006 
5408.427 0.990 0.004 
5408.443 0.992 0.004 
5408.458 0.994 0.003 
5408.473 0.994 0.001 
5408.489 0.995 0.002 
5408.504 0.995 0.002 
5408.519 0.996 0.004 
5408.535 0.997 0.004 
5408.550 0.999 0.003 
5408.565 1.000 0.002 
5408.581 1.001 0.001 
5408.596 1.003 0.001 
5408.611 1.003 0.002 
5408.627 1.003 0.002 
5408.642 1.001 0.002 
5408.657 1.001 0.003 
5408.673 0.999 0.003 
5408.688 0.999 0.003 
5408.703 0.997 0.003 
5408.719 0.996 0.003 
5408.734 0.994 0.004 
5408.749 0.992 0.004 
5408.765 0.992 0.003 
5408.780 0.993 0.004 
5408.795 0.994 0.004 
5408.811 0.994 0.004 
5408.826 0.996 0.007 
5408.841 0.995 0.007 
5408.857 0.994 0.007 
5408.872 0.996 0.006 
5408.888 1.000 0.005 
5408.903 1.006 0.005 
5408.918 1.008 0.003 
5408.934 1.009 0.002 
5408.949 1.008 0.003 
5408.964 1.007 0.005 
5408.980 1.005 0.006 
5408.995 1.002 0.004 
5409.010 1.002 0.004 
5409.026 1.000 0.005 
5409.041 0.997 0.005 
5409.056 0.994 0.006 
5409.072 0.991 0.006 
5409.087 0.989 0.007 
5409.102 0.988 0.007 
5409.118 0.986 0.005 
5409.133 0.986 0.004 
5409.148 0.989 0.004 
5409.164 0.995 0.005 
5409.179 0.996 0.004 
5409.194 0.996 0.002 
5409.210 0.998 0.003 
5409.225 0.997 0.003 
5409.240 0.997 0.003 
5409.256 0.998 0.003 
5409.271 0.998 0.003 
5409.286 0.998 0.002 
5409.302 0.997 0.002 
5409.317 0.998 0.002 
5409.332 0.999 0.003 
5409.348 0.999 0.004 
5409.363 0.998 0.002 
5409.378 0.999 0.001 
5409.394 1.001 0.003 
5409.409 0.999 0.001 
5409.424 0.997 0.002 
5409.440 0.996 0.002 
5409.455 0.998 0.002 
5409.470 0.999 0.003 
5409.486 0.998 0.002 
5409.501 0.998 0.001 
5409.516 0.999 0.001 
5409.532 0.997 0.001 
5409.547 0.997 0.001 
5409.563 0.998 0.001 
5409.578 0.998 0.001 
5409.593 0.998 0.002 
5409.609 0.997 0.002 
5409.624 0.998 0.001 
5409.639 0.998 0.001 
5409.655 0.998 0.001 
5409.670 0.998 0.002 
5409.685 0.998 0.002 
5409.701 0.997 0.002 
5409.716 0.996 0.003 
5409.731 0.997 0.003 
5409.747 0.995 0.003 
